Year,Count
2019,3133
2018,3862
2017,3563
2016,3420
2015,3045
2014,1567
2013,1396
2012,1485
2011,1285
2010,1247
2009,1201
2008,1111
2007,1031
2006, 831
2005, 616
2004, 599
2003, 528
2002, 496
2001, 487
2000, 533
1999, 479
1998, 404
1997, 357
1996, 322
1995, 285
1994, 252
1993, 229
1992, 209
1991, 225
1990, 226
1989, 215
1988, 235
1987, 244
1986, 242
1985, 223
1984, 207
1983, 198
1982, 168
1981, 168
1980, 160
1979, 131
1978, 87
1977, 74
1976, 75
1975, 89
1974, 83
1973, 81
1972, 75
1971, 83
1970, 99
1969, 77
1968, 72
1967, 72
1966, 63
1965, 55
1964, 55
1963, 57
1962, 60
1961, 50
1960, 52
1959, 41
1958, 32
1957, 46
1956, 50
1955, 40
1954, 54
1953, 43
1952, 27
1951, 41
1950, 32
1949, 36
1948, 39
1947, 38
1946, 38
1945, 32
1944, 21
1943, 26
1942, 27
1941, 31
1940, 26
1939, 27
1938, 21
1937, 26
1936, 20
1935, 19
1934, 20
1933, 19
1932, 15
1931, 20
1930, 18
1929, 21
1928, 10
1927, 12
1926, 7
1925, 13
1924, 6
1923, 4
1922, 1
1921, 4
1920, 4
1919, 1
1918, 1
1916, 5
1915, 3
1902, 1
